ID,Date,State,Fire Name,Latitude,Longitude,Fire_Cause,cause1,cause2,cause3,cause4,Month,Day,Year
230680633,1/1/13,North Dakota,Oxbow Overlook 13,47.60228,-103.43472,Natural /Other/ known ,Natural ,Other, known ,,1,1,2013
566373664,1/1/13,North Dakota,Glacier 13,47.624939,-103.415214,Natural /Other/ known ,Natural ,Other, known ,,1,1,2013
852609324,1/1/13,Arizona,MIDDLE,33.077,-111.75919,Human/Incendiary /Other/ unknown ,Human,Incendiary ,Other, unknown ,1,1,2013
1652371,1/1/13,South Dakota,BACKYARD,43.3192,-101.0294,Natural /Other/ unknown ,Natural ,Other, unknown ,,1,1,2013
372582367,1/2/13,California,Walters,33.313447,-114.862947,Human/Miscellaneous /Other/ unknown ,Human,Miscellaneous ,Other, unknown ,1,2,2013
803419329,1/2/13,Utah,Sky Ranch,37.0817,-113.3175,Human/Miscellaneous /Other/ known ,Human,Miscellaneous ,Other, known ,1,2,2013
467695796,1/4/13,Oklahoma,Hopper,36.5636,-96.1919,Human/Equipment /Power Line ,Human,Equipment ,Power Line ,,1,4,2013
583546908,1/5/13,California,BECKWITH,37.68062,-121.195544,Human/Accidental/Recreation,Human,Accidental,Recreation,,1,5,2013
439279479,1/5/13,South Dakota,Marty East Housing,42.9944,-98.422,Human/Miscellaneous /Other/ unknown ,Human,Miscellaneous ,Other, unknown ,1,5,2013
146747878,1/5/13,South Dakota,South Airport,43.25019,-100.85925,Human/Fire Use /Slash Burning ,Human,Fire Use ,Slash Burning ,,1,5,2013
775693501,1/6/13,California,BECKWITH 2,37.680346,-121.195506,Human/Accidental/Recreation,Human,Accidental,Recreation,,1,6,2013
429494500,1/7/13,Oklahoma,BUCK JAM,35.7569,-94.5217,Human/Accidental/Recreation,Human,Accidental,Recreation,,1,7,2013
688625385,1/8/13,South Dakota,Lafferty,43.263442,-101.198533,Natural /Other/ known ,Natural ,Other, known ,,1,8,2013
766047334,1/8/13,Montana,WINTER,45.38,-107.8604,Human/Equipment /Other/ known ,Human,Equipment ,Other, known ,1,8,2013
597476118,1/8/13,Oklahoma,Crawford,36.41063,-96.35124,Human/Fire Use /Land Clearing ,Human,Fire Use ,Land Clearing ,,1,8,2013
